净值日期,单位净值,日增长率,基金代码
2007-09-10,1.0,0.0,000031
2007-09-11,0.999,-0.1,000031
2007-09-12,1.001,0.2002,000031
2007-09-13,1.003,0.1998,000031
2007-09-14,1.006,0.2991,000031
2007-09-17,1.012,0.5964,000031
2007-09-18,1.013,0.0988,000031
2007-09-19,1.01,-0.2962,000031
2007-09-20,1.015,0.495,000031
2007-09-21,1.012,-0.2956,000031
2007-09-24,1.014,0.1976,000031
2007-09-25,1.01,-0.3945,000031
2007-09-26,1.001,-0.8911,000031
2007-09-27,1.007,0.5994,000031
2007-09-28,1.021,1.3903,000031
2007-10-08,1.024,0.2938,000031
2007-10-09,1.038,1.3672,000031
2007-10-10,1.044,0.578,000031
2007-10-11,1.051,0.6705,000031
2007-10-12,1.052,0.0951,000031
2007-10-15,1.056,0.3802,000031
2007-10-16,1.062,0.5682,000031
2007-10-17,1.055,-0.6591,000031
2007-10-18,1.036,-1.8009,000031
2007-10-19,1.036,0.0,000031
2007-10-22,1.022,-1.3514,000031
2007-10-23,1.025,0.2935,000031
2007-10-24,1.028,0.2927,000031
2007-10-25,1.005,-2.2374,000031
2007-10-26,1.015,0.995,000031
2007-10-29,1.028,1.2808,000031
2007-10-30,1.041,1.2646,000031
2007-10-31,1.054,1.2488,000031
2007-11-01,1.047,-0.6641,000031
2007-11-02,1.024,-2.1968,000031
2007-11-05,1.007,-1.6602,000031
2007-11-06,1.005,-0.1986,000031
2007-11-07,1.009,0.398,000031
2007-11-08,0.982,-2.6759,000031
2007-11-09,0.976,-0.611,000031
2007-11-12,0.964,-1.2295,000031
2007-11-13,0.957,-0.7261,000031
2007-11-14,0.981,2.5078,000031
2007-11-15,0.978,-0.3058,000031
2007-11-16,0.969,-0.9202,000031
2007-11-19,0.966,-0.3096,000031
2007-11-20,0.978,1.2422,000031
2007-11-21,0.97,-0.818,000031
2007-11-22,0.941,-2.9897,000031
2007-11-23,0.954,1.3815,000031
2007-11-26,0.947,-0.7338,000031
2007-11-27,0.934,-1.3728,000031
2007-11-28,0.926,-0.8565,000031
2007-11-29,0.953,2.9158,000031
2007-11-30,0.941,-1.2592,000031
2007-12-03,0.951,1.0627,000031
2007-12-04,0.96,0.9464,000031
2007-12-05,0.98,2.0833,000031
2007-12-06,0.98,0.0,000031
2007-12-07,0.99,1.0204,000031
2007-12-10,1.002,1.2121,000031
2007-12-11,1.0,-0.1996,000031
2007-12-12,0.989,-1.1,000031
2007-12-13,0.961,-2.8311,000031
2007-12-14,0.972,1.1446,000031
2007-12-17,0.951,-2.1605,000031
2007-12-18,0.951,0.0,000031
2007-12-19,0.965,1.4721,000031
2007-12-20,0.978,1.3472,000031
2007-12-21,0.989,1.1247,000031
2007-12-24,0.998,0.91,000031
2007-12-25,1.0,0.2004,000031
2007-12-26,1.004,0.4,000031
2007-12-27,1.016,1.1952,000031
2007-12-28,1.012,-0.3937,000031
2007-12-29,1.012,0.0,000031
2007-12-31,1.012,0.0,000031
2008-01-02,1.016,0.3953,000031
2008-01-03,1.019,0.2953,000031
2008-01-04,1.023,0.3925,000031
2008-01-07,1.037,1.3685,000031
2008-01-08,1.031,-0.5786,000031
2008-01-09,1.041,0.9699,000031
2008-01-10,1.053,1.1527,000031
2008-01-11,1.063,0.9497,000031
2008-01-14,1.067,0.3763,000031
2008-01-15,1.062,-0.4686,000031
2008-01-16,1.035,-2.5424,000031
2008-01-17,1.025,-0.9662,000031
2008-01-18,1.042,1.6585,000031
2008-01-21,1.011,-2.975,000031
2008-01-22,0.958,-5.2423,000031
2008-01-23,1.005,4.9061,000031
2008-01-24,1.025,1.99,000031
2008-01-25,1.026,0.0976,000031
2008-01-28,0.98,-4.4834,000031
2008-01-29,0.981,0.102,000031
2008-01-30,0.973,-0.8155,000031
2008-01-31,0.95,-2.3638,000031
2008-02-01,0.944,-0.6316,000031
2008-02-04,1.001,6.0381,000031
2008-02-05,0.992,-0.8991,000031
2008-02-13,0.978,-1.4113,000031
2008-02-14,0.986,0.818,000031
2008-02-15,0.983,-0.3043,000031
2008-02-18,1.004,2.1363,000031
2008-02-19,1.017,1.2948,000031
2008-02-20,1.001,-1.5733,000031
2008-02-21,1.004,0.2997,000031
2008-02-22,0.983,-2.0916,000031
2008-02-25,0.96,-2.3398,000031
2008-02-26,0.95,-1.0417,000031
2008-02-27,0.962,1.2632,000031
2008-02-28,0.962,0.0,000031
2008-02-29,0.967,0.5198,000031
2008-03-03,0.987,2.0683,000031
2008-03-04,0.976,-1.1145,000031
2008-03-05,0.972,-0.4098,000031
2008-03-06,0.974,0.2058,000031
2008-03-07,0.962,-1.232,000031
2008-03-10,0.938,-2.4948,000031
2008-03-11,0.944,0.6397,000031
2008-03-12,0.924,-2.1186,000031
2008-03-13,0.911,-1.4069,000031
2008-03-14,0.902,-0.9879,000031
2008-03-17,0.864,-4.2129,000031
2008-03-18,0.832,-3.7037,000031
2008-03-19,0.853,2.524,000031
2008-03-20,0.874,2.4619,000031
2008-03-21,0.882,0.9153,000031
2008-03-24,0.86,-2.4943,000031
2008-03-25,0.865,0.5814,000031
2008-03-26,0.867,0.2312,000031
2008-03-27,0.844,-2.6528,000031
2008-03-28,0.863,2.2512,000031
2008-03-31,0.845,-2.0857,000031
2008-04-01,0.807,-4.497,000031
2008-04-02,0.788,-2.3544,000031
2008-04-03,0.803,1.9036,000031
2008-04-07,0.839,4.4832,000031
2008-04-08,0.85,1.3111,000031
2008-04-09,0.828,-2.5882,000031
2008-04-10,0.84,1.4493,000031
2008-04-11,0.843,0.3571,000031
2008-04-14,0.801,-4.9822,000031
2008-04-15,0.809,0.9988,000031
2008-04-16,0.795,-1.7305,000031
2008-04-17,0.776,-2.3899,000031
2008-04-18,0.754,-2.8351,000031
2008-04-21,0.749,-0.6631,000031
2008-04-22,0.748,-0.1335,000031
2008-04-23,0.777,3.877,000031
2008-04-24,0.824,6.0489,000031
2008-04-25,0.825,0.1214,000031
2008-04-28,0.819,-0.7273,000031
2008-04-29,0.826,0.8547,000031
2008-04-30,0.851,3.0266,000031
2008-05-05,0.866,1.7626,000031
2008-05-06,0.862,-0.4619,000031
2008-05-07,0.842,-2.3202,000031
2008-05-08,0.862,2.3753,000031
2008-05-09,0.866,0.464,000031
2008-05-12,0.87,0.4619,000031
2008-05-13,0.872,0.2299,000031
2008-05-14,0.885,1.4908,000031
2008-05-15,0.881,-0.452,000031
2008-05-16,0.875,-0.681,000031
2008-05-19,0.877,0.2286,000031
2008-05-20,0.847,-3.4208,000031
2008-05-21,0.857,1.1806,000031
2008-05-22,0.85,-0.8168,000031
2008-05-23,0.846,-0.4706,000031
2008-05-26,0.83,-1.8913,000031
2008-05-27,0.83,0.0,000031
2008-05-28,0.841,1.3253,000031
2008-05-29,0.831,-1.1891,000031
2008-05-30,0.833,0.2407,000031
2008-06-02,0.834,0.12,000031
2008-06-03,0.831,-0.3597,000031
2008-06-04,0.819,-1.444,000031
2008-06-05,0.812,-0.8547,000031
2008-06-06,0.811,-0.1232,000031
2008-06-10,0.777,-4.1924,000031
2008-06-11,0.774,-0.3861,000031
2008-06-12,0.767,-0.9044,000031
2008-06-13,0.753,-1.8253,000031
2008-06-16,0.746,-0.9296,000031
2008-06-17,0.731,-2.0107,000031
2008-06-18,0.754,3.1464,000031
2008-06-19,0.722,-4.244,000031
2008-06-20,0.733,1.5235,000031
2008-06-23,0.722,-1.5007,000031
2008-06-24,0.734,1.662,000031
2008-06-25,0.755,2.861,000031
2008-06-26,0.756,0.1325,000031
2008-06-27,0.736,-2.6455,000031
2008-06-30,0.734,-0.2717,000031
2008-07-01,0.724,-1.3624,000031
2008-07-02,0.727,0.4144,000031
2008-07-03,0.74,1.7882,000031
2008-07-04,0.738,-0.2703,000031
2008-07-07,0.758,2.71,000031
2008-07-08,0.759,0.1319,000031
2008-07-09,0.771,1.581,000031
2008-07-10,0.762,-1.1673,000031
2008-07-11,0.76,-0.2625,000031
2008-07-14,0.765,0.6579,000031
2008-07-15,0.749,-2.0915,000031
2008-07-16,0.737,-1.6021,000031
2008-07-17,0.735,-0.2714,000031
2008-07-18,0.748,1.7687,000031
2008-07-21,0.764,2.139,000031
2008-07-22,0.764,0.0,000031
2008-07-23,0.761,-0.3927,000031
2008-07-24,0.772,1.4455,000031
2008-07-25,0.768,-0.5181,000031
2008-07-28,0.771,0.3906,000031
2008-07-29,0.762,-1.1673,000031
2008-07-30,0.76,-0.2625,000031
2008-07-31,0.749,-1.4474,000031
2008-08-01,0.753,0.534,000031
2008-08-04,0.746,-0.9296,000031
2008-08-05,0.737,-1.2064,000031
2008-08-06,0.739,0.2714,000031
2008-08-07,0.739,0.0,000031
